effDate,consTickerSymbol,weight
2017-01-26,002174,0.097
2017-01-26,600999,0.406
2017-01-26,000768,0.346
2017-01-26,000718,0.094
2017-01-26,600519,1.834
2017-01-26,600606,0.222
2017-01-26,601633,0.148
2017-01-26,000709,0.172
2017-01-26,000876,0.178
2017-01-26,000977,0.126
2017-01-26,002568,0.038
2017-01-26,300146,0.087
2017-01-26,300085,0.056
2017-01-26,600754,0.052
2017-01-26,000625,0.326
2017-01-26,600816,0.222
2017-01-26,600038,0.13
2017-01-26,600583,0.186
2017-01-26,600036,2.077
2017-01-26,601866,0.135
2017-01-26,600570,0.232
2017-01-26,600208,0.162
2017-01-26,600157,0.213
2017-01-26,001979,0.418
2017-01-26,000156,0.106
2017-01-26,601985,0.349
2017-01-26,601555,0.286
2017-01-26,002714,0.105
2017-01-26,300070,0.309
2017-01-26,002146,0.112
2017-01-26,601600,0.358
2017-01-26,000002,1.492
2017-01-26,600352,0.234
2017-01-26,600276,0.714
2017-01-26,000917,0.162
2017-01-26,600061,0.183
2017-01-26,300144,0.127
2017-01-26,601989,0.744
2017-01-26,000503,0.341
2017-01-26,600959,0.18
2017-01-26,002739,0.289
2017-01-26,600115,0.215
2017-01-26,600089,0.324
2017-01-26,600718,0.197
2017-01-26,002475,0.183
2017-01-26,600688,0.158
2017-01-26,600660,0.279
2017-01-26,601727,0.28
2017-01-26,002252,0.235
2017-01-26,601398,1.052
2017-01-26,600048,0.695
2017-01-26,000027,0.088
2017-01-26,600485,0.226
2017-01-26,002049,0.119
2017-01-26,600256,0.145
2017-01-26,600150,0.205
2017-01-26,600028,0.672
2017-01-26,600005,0.198
2017-01-26,601377,0.389
2017-01-26,002465,0.213
2017-01-26,300002,0.134
2017-01-26,600649,0.348
2017-01-26,601118,0.096
2017-01-26,000627,0.105
2017-01-26,600820,0.224
2017-01-26,600050,0.588
2017-01-26,600585,0.422
2017-01-26,600637,0.322
2017-01-26,601888,0.237
2017-01-26,000712,0.11
2017-01-26,601333,0.199
2017-01-26,002024,0.437
2017-01-26,600893,0.287
2017-01-26,000895,0.225
2017-01-26,000725,0.859
2017-01-26,000402,0.133
2017-01-26,600037,0.111
2017-01-26,300024,0.234
2017-01-26,601601,0.967
2017-01-26,600582,0.092
2017-01-26,300104,0.461
2017-01-26,300072,0.297
2017-01-26,002415,0.507
2017-01-26,002152,0.112
2017-01-26,601919,0.219
2017-01-26,000008,0.076
2017-01-26,600362,0.183
2017-01-26,600297,0.16
2017-01-26,600170,0.187
2017-01-26,000166,0.402
2017-01-26,000333,1.425
2017-01-26,601611,0.097
2017-01-26,002594,0.281
2017-01-26,603885,0.065
2017-01-26,601211,0.929
2017-01-26,600118,0.207
2017-01-26,002673,0.277
2017-01-26,600100,0.256
