code,year,quarter,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
600871,2014,1,-4.84,-8.85,-2.0444,-327.861,-0.0546,3701.6929999999998,0.6169,21.8708,4.1151,2.6488,33.9777,0.8951,100.5474,,,,,,,1.1831,0.7245,2.3976,-8920.073,66.7804,33.2196,0.0431,0.0157,,0.0474,4.7786
600871,2014,2,-32.73,-22.08,-1.5451,-1750.279,-0.2917,7924.423000000001,1.3207,61.7193,2.9164,6.0668,29.6697,1.9121,94.1373,-9.1026,,-33.6607,-22.0197,137.3984,-33.6607,1.1453,0.7609,1.818,-20793.5194,60.4798,39.5202,-0.0324,-0.0291,,-0.0736,-7.4172
600871,2014,3,-39.57,-16.85,-0.1818,-2012.329,-0.3353,11937.448,1.9895,79.5557,3.3938,8.8157,30.6272,2.8739,93.949,-10.5757,,-35.3062,-25.219,93.6416,-35.3062,1.114,0.7249,1.5865,-8625.1148,58.4984,41.5016,-0.0297,-0.0407,,-0.0981,-9.8895
600871,2014,4,6.57,1.3,9.7585,1229.753,0.096,94481.041,7.3759,6.6995,53.7354,12.8669,27.9788,3.7683,95.5338,434.4806,,163.4562,664.8263,-133.0579,163.47,0.7398,0.5472,4.1407,373.5899,22.9977,77.0023,0.0714,0.083,5.4759,0.1078,10.8918
600871,2015,1,-1.51,-3.31,6.3641,-368.724,-0.026000000000000002,11135.608,0.7873,0.48200000000000004,186.722,0.7699,116.8983,0.2553,352.5264,200.8247,,259.7218,648.6386,-49.0909,259.7371,0.8143,0.5164,8.4282,-98.0921,32.0881,67.9119,-0.1688,-0.0248,,-0.0365,-3.6945
600871,2015,2,-5.89,-5.97,3.5264,-1380.35,-0.0976,23121.285,1.6348,1.0679,168.5551,1.5881,113.34299999999999,0.5385,334.2618,191.7725,,337.7021,735.0063,-65.411,337.7219,0.8052,0.4802,8.6965,-488.3414,31.7029,68.2971,-0.0593,-0.0186,,-0.0272,-2.7576
600871,2015,3,-9.04,-5.63,4.1105,-2059.887,-0.1456,36580.781,2.5865,1.6769999999999998,161.0018,2.3609,114.3632,0.8257,326.9953,,,,,,,0.7946,0.4643,9.6726,-235.0905,29.4503,70.5497,-0.031,-0.0147,,-0.0208,-2.1054
600871,2015,4,0.09,0.04,9.5782,24.478,0.0017,60349.334,4.2671,2.1871,164.6015,4.0873,88.0777,1.266,284.3602,-36.1255,-98.02600000000001,31.7756,4.9352,-97.5,31.7748,0.8265,0.58,7.5198,176.9666,28.8801,71.1199,0.0427,0.0302,105.9225,0.0425,4.3001
600871,2016,1,-7.33,-19.8,-8.2905,-1685.21,-0.1191,8510.893,0.6017,0.3636,247.5248,0.5884,152.9572,0.1815,495.8678,-23.5705,,-5.5983,4.1623,325.0,-5.5977,0.8006,0.5011,7.6059,-1740.9576,29.0812,70.9188,-0.2295,-0.0247,,-0.0348,-3.5323
600871,2016,2,-22.32,-24.12,-12.7315,-4509.420999999999,-0.3188,18689.863,1.3215,0.8339,215.8532,1.3493,133.4025,0.4023,447.4273,-19.166,,-13.6836,4.9646,215.8416,-13.6823,0.7693,0.4776,8.0152,-1992.5168,26.0705,73.9295,-0.1664,-0.0401,,-0.0543,-5.5132
