code,date,close
600549,2018-04-27,22.73
600549,2018-03-30,26.43
600549,2018-02-28,25.03
600549,2018-01-31,25.03
600549,2017-12-29,25.75
600549,2017-11-30,25.72
600549,2017-10-31,27.74
600549,2017-09-29,32.13
600549,2017-08-31,34.49
600549,2017-07-31,30.5
600549,2017-06-30,21.49
600549,2017-05-31,19.93
600549,2017-04-28,20.32
600549,2017-03-31,21.53
600549,2017-02-28,24.5
600549,2017-01-26,21.85
600549,2016-12-30,22.02
600549,2016-11-30,26.71
600549,2016-10-31,26.12
600549,2016-09-30,25.4
600549,2016-08-31,28.26
600549,2016-07-29,26.9
600549,2016-06-30,29.68
600549,2016-05-31,26.81
600549,2016-04-29,23.73
600549,2016-03-31,19.09
600549,2016-02-29,17.57
600549,2016-01-29,13.65
600549,2015-12-31,18.82
600549,2015-11-30,18.95
600549,2015-10-30,18.05
600549,2015-09-30,15.21
600549,2015-08-31,16.23
600549,2015-07-31,18.93
600549,2015-06-30,25.28
600549,2015-05-29,31.36
600549,2015-04-30,39.91
600549,2015-03-31,38.23
600549,2015-02-27,32.14
600549,2015-01-30,33.13
600549,2014-12-31,32.98
600549,2014-11-28,31.58
600549,2014-10-31,30.0
600549,2014-09-30,30.06
600549,2014-08-29,30.48
600549,2014-07-31,32.57
600549,2014-06-30,25.4
600549,2014-05-30,24.76
600549,2014-04-30,24.1
600549,2014-03-31,23.46
600549,2014-02-28,20.97
600549,2014-01-30,20.87
600549,2013-12-31,24.04
600549,2013-11-29,27.03
600549,2013-10-31,27.37
600549,2013-09-30,29.09
600549,2013-08-30,29.38
600549,2013-07-31,27.88
600549,2013-06-28,26.7
600549,2013-05-31,33.25
600549,2013-04-26,31.43
600549,2013-03-29,30.98
600549,2013-02-28,38.71
600549,2013-01-31,40.09
600549,2012-12-31,38.98
600549,2012-11-30,29.24
600549,2012-10-31,34.29
600549,2012-09-28,40.39
600549,2012-08-31,39.36
600549,2012-07-31,35.15
600549,2012-06-29,43.91
600549,2012-05-31,48.33
600549,2012-04-27,42.06
600549,2012-03-30,41.21
600549,2012-02-29,37.57
600549,2012-01-31,35.28
600549,2011-12-30,29.67
600549,2011-11-30,35.41
600549,2011-10-31,38.12
